KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
539104,Bojanovice,372,268,267,"13,48 %","0,00 %","0,00 %","8,98 %","0,00 %","7,11 %","5,61 %","0,37 %","1,12 %","2,24 %","0,00 %","0,00 %","13,48 %","0,00 %","0,00 %","4,86 %","29,21 %","0,37 %","0,00 %","2,62 %","0,00 %","0,37 %","0,00 %","0,37 %","8,98 %","0,74 %"
571199,Brat¯Ìnov,149,121,121,"23,96 %","0,00 %","0,00 %","6,61 %","0,00 %","4,13 %","9,09 %","0,82 %","0,82 %","0,00 %","0,00 %","0,00 %","15,70 %","0,00 %","0,00 %","4,95 %","26,44 %","0,00 %","0,00 %","1,65 %","0,00 %","0,82 %","0,00 %","0,82 %","4,13 %","0,00 %"
599735,B¯ezov·-Oleöko,869,632,630,"17,46 %","0,00 %","0,00 %","2,85 %","0,00 %","7,77 %","5,23 %","1,26 %","1,11 %","3,01 %","0,15 %","0,15 %","16,34 %","0,00 %","0,00 %","11,58 %","21,11 %","0,00 %","0,31 %","2,69 %","0,00 %","0,95 %","0,00 %","0,15 %","7,14 %","0,63 %"
540048,Buö,281,208,207,"20,77 %","0,00 %","0,00 %","3,86 %","0,00 %","10,62 %","4,83 %","0,96 %","0,00 %","0,00 %","0,00 %","0,00 %","18,35 %","0,00 %","0,00 %","10,14 %","21,25 %","0,00 %","0,00 %","2,89 %","0,00 %","0,48 %","0,00 %","0,00 %","5,79 %","0,00 %"
539121,»ernolice,328,251,248,"21,77 %","0,40 %","0,40 %","7,25 %","0,00 %","8,87 %","4,03 %","1,20 %","2,41 %","1,61 %","0,00 %","0,00 %","15,72 %","0,00 %","0,00 %","14,51 %","12,90 %","0,00 %","0,00 %","2,41 %","0,00 %","1,61 %","0,00 %","0,00 %","4,83 %","0,00 %"
539139,»ernoöice,5 206,3 964,3 945,"18,27 %","0,07 %","0,05 %","3,67 %","0,05 %","6,64 %","2,58 %","2,23 %","0,30 %","1,57 %","0,02 %","0,05 %","17,21 %","0,02 %","0,10 %","19,51 %","16,34 %","0,00 %","0,07 %","5,50 %","0,00 %","0,58 %","0,12 %","0,05 %","4,74 %","0,17 %"
532215,»erven˝ ⁄jezd,964,663,661,"15,88 %","0,30 %","0,15 %","5,59 %","0,15 %","6,95 %","7,71 %","1,66 %","1,51 %","1,66 %","0,15 %","0,30 %","15,88 %","0,30 %","0,15 %","6,05 %","25,26 %","0,30 %","0,60 %","2,57 %","0,00 %","1,05 %","0,15 %","0,00 %","4,84 %","0,75 %"
539147,»ÌËovice,235,162,160,"15,62 %","0,00 %","0,62 %","5,62 %","0,00 %","5,00 %","6,87 %","1,87 %","0,00 %","0,00 %","0,00 %","0,62 %","17,50 %","0,00 %","0,00 %","9,37 %","26,87 %","0,00 %","0,00 %","3,12 %","0,00 %","1,25 %","0,00 %","0,00 %","5,62 %","0,00 %"
539155,»isovice,843,562,556,"11,87 %","0,17 %","0,00 %","5,93 %","0,35 %","8,81 %","4,85 %","3,05 %","1,07 %","2,51 %","0,17 %","0,53 %","16,54 %","0,00 %","0,17 %","7,73 %","25,53 %","0,00 %","0,00 %","1,97 %","0,17 %","0,35 %","0,00 %","0,17 %","7,73 %","0,17 %"
539163,Davle,1 262,874,867,"17,87 %","0,80 %","0,00 %","2,53 %","0,11 %","9,80 %","4,95 %","1,49 %","0,92 %","1,49 %","0,00 %","0,00 %","13,37 %","0,00 %","0,11 %","8,30 %","26,06 %","0,00 %","0,00 %","2,42 %","0,00 %","1,03 %","0,34 %","0,80 %","7,15 %","0,34 %"
539171,DobrovÌz,435,302,299,"11,37 %","0,33 %","0,00 %","3,01 %","0,00 %","4,68 %","8,02 %","1,67 %","0,33 %","1,67 %","0,00 %","0,00 %","12,70 %","0,00 %","0,00 %","9,69 %","31,77 %","0,66 %","0,33 %","2,34 %","0,33 %","2,00 %","0,33 %","0,00 %","8,69 %","0,00 %"
539180,Dob¯ÌË,252,197,191,"12,04 %","0,00 %","0,00 %","8,37 %","0,00 %","7,32 %","5,23 %","5,75 %","0,52 %","1,04 %","0,00 %","0,00 %","16,23 %","0,00 %","0,00 %","10,47 %","26,17 %","0,00 %","0,52 %","2,61 %","0,00 %","1,04 %","0,00 %","0,00 %","2,61 %","0,00 %"
